Score,Teaching Method
27.09107938,Method 1
25.04625978,Method 1
27.4908258,Method 1
24.59787371,Method 1
23.93224534,Method 1
21.44346113,Method 1
19.6946719,Method 1
21.47114094,Method 1
24.8718132,Method 1
18.04706185,Method 1
21.94453446,Method 1
23.3061701,Method 1
20.51515056,Method 1
24.7766975,Method 1
20.74024311,Method 1
19.21468842,Method 1
28.4254103,Method 1
27.00876243,Method 1
27.85523348,Method 1
30.25257644,Method 1
31.56047186,Method 1
29.89983829,Method 1
22.38930545,Method 1
29.19262956,Method 1
29.03165038,Method 1
27.98103539,Method 2
24.25908337,Method 2
21.77887187,Method 2
26.71204872,Method 2
26.25595868,Method 2
34.59683339,Method 2
27.34624894,Method 2
25.78140064,Method 2
25.35920704,Method 2
23.61278461,Method 2
24.76245907,Method 2
22.66648956,Method 2
25.93757057,Method 2
27.92354468,Method 2
26.96742151,Method 2
20.21544294,Method 2
24.963056,Method 2
25.14190938,Method 2
23.48326956,Method 2
21.10551712,Method 2
30.24243896,Method 2
24.22917257,Method 2
23.25149677,Method 2
26.64116054,Method 2
20.50454775,Method 2
33.78042284,Method 3
29.94976385,Method 3
29.98897357,Method 3
18.22049596,Method 3
32.01153445,Method 3
19.48933021,Method 3
21.95573357,Method 3
28.2215419,Method 3
31.57252921,Method 3
33.25747145,Method 3
26.38802797,Method 3
14.63485873,Method 3
39.00831101,Method 3
35.06984461,Method 3
18.41450765,Method 3
9.766904667,Method 3
23.38209117,Method 3
19.57183215,Method 3
35.76092929,Method 3
31.10366825,Method 3
19.98871363,Method 3
21.22929537,Method 3
29.49715726,Method 3
18.7782625,Method 3
30.69197446,Method 3
25.64824895,Method 4
30.91595551,Method 4
36.70899839,Method 4
31.39919704,Method 4
37.65075759,Method 4
34.60623615,Method 4
31.25225736,Method 4
35.5925784,Method 4
31.57272413,Method 4
38.4989713,Method 4
36.15624539,Method 4
28.14308907,Method 4
29.94040959,Method 4
39.71547675,Method 4
32.70316206,Method 4
36.69739381,Method 4
36.15024191,Method 4
33.67388261,Method 4
23.47077034,Method 4
32.46113207,Method 4
31.48719772,Method 4
28.81810494,Method 4
30.64585922,Method 4
26.72086883,Method 4
24.89067961,Method 4
